c = 141, sigma = 0.001, train.rain.acc = 0.699346, train.dry.acc = 0.811856,train.acc = 0.780037, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 142, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 143, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 144, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 145, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 146, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 147, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 148, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.759259, test.dry.acc = 0.837288, test.acc = 0.816377
c = 149, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.759259, test.dry.acc = 0.837288, test.acc = 0.816377
c = 150, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.759259, test.dry.acc = 0.837288, test.acc = 0.816377
c = 151, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.759259, test.dry.acc = 0.837288, test.acc = 0.816377
