c = 1, sigma = 0.07, train.acc = 0.735325, test.acc = 0.730756, train.high.acc = 0.877778, train.medium.acc = 0.636486, train.low.acc = 0.744061, test.high.acc = 0.818182, test.medium.acc = 0.587361, test.low.acc = 0.744149
c = 1, sigma = 0.071, train.acc = 0.735583, test.acc = 0.731107, train.high.acc = 0.877778, train.medium.acc = 0.637466, train.low.acc = 0.744277, test.high.acc = 0.818182, test.medium.acc = 0.588889, test.low.acc = 0.744444
c = 1, sigma = 0.072, train.acc = 0.735325, test.acc = 0.731810, train.high.acc = 0.877778, train.medium.acc = 0.635389, train.low.acc = 0.744274, test.high.acc = 0.818182, test.medium.acc = 0.592593, test.low.acc = 0.744841
c = 1, sigma = 0.073, train.acc = 0.735325, test.acc = 0.732513, train.high.acc = 0.877778, train.medium.acc = 0.635027, train.low.acc = 0.744345, test.high.acc = 0.818182, test.medium.acc = 0.595588, test.low.acc = 0.745433
c = 1, sigma = 0.074, train.acc = 0.735583, test.acc = 0.732865, train.high.acc = 0.877778, train.medium.acc = 0.636000, train.low.acc = 0.744560, test.high.acc = 0.818182, test.medium.acc = 0.597070, test.low.acc = 0.745729
c = 1, sigma = 0.075, train.acc = 0.735583, test.acc = 0.733216, train.high.acc = 0.877778, train.medium.acc = 0.635638, train.low.acc = 0.744631, test.high.acc = 0.818182, test.medium.acc = 0.598540, test.low.acc = 0.746025
c = 1, sigma = 0.076, train.acc = 0.735971, test.acc = 0.733568, train.high.acc = 0.877778, train.medium.acc = 0.636605, train.low.acc = 0.744993, test.high.acc = 0.821429, test.medium.acc = 0.600733, test.low.acc = 0.746025
c = 1, sigma = 0.077, train.acc = 0.735971, test.acc = 0.733919, train.high.acc = 0.877778, train.medium.acc = 0.636243, train.low.acc = 0.745064, test.high.acc = 0.824561, test.medium.acc = 0.602941, test.low.acc = 0.746025
c = 1, sigma = 0.078, train.acc = 0.735971, test.acc = 0.733919, train.high.acc = 0.877778, train.medium.acc = 0.636243, train.low.acc = 0.745064, test.high.acc = 0.824561, test.medium.acc = 0.602941, test.low.acc = 0.746025
c = 1, sigma = 0.079, train.acc = 0.736359, test.acc = 0.733216, train.high.acc = 0.877778, train.medium.acc = 0.637681, train.low.acc = 0.745389, test.high.acc = 0.824561, test.medium.acc = 0.598540, test.low.acc = 0.745823
c = 1, sigma = 0.08, train.acc = 0.736488, test.acc = 0.732513, train.high.acc = 0.879121, train.medium.acc = 0.638158, train.low.acc = 0.745460, test.high.acc = 0.824561, test.medium.acc = 0.594891, test.low.acc = 0.745426
c = 1, sigma = 0.081, train.acc = 0.737005, test.acc = 0.732513, train.high.acc = 0.880435, train.medium.acc = 0.640789, train.low.acc = 0.745713, test.high.acc = 0.824561, test.medium.acc = 0.594891, test.low.acc = 0.745426
c = 1, sigma = 0.082, train.acc = 0.737135, test.acc = 0.732513, train.high.acc = 0.880435, train.medium.acc = 0.639947, train.low.acc = 0.745967, test.high.acc = 0.824561, test.medium.acc = 0.594891, test.low.acc = 0.745426
c = 1, sigma = 0.083, train.acc = 0.737264, test.acc = 0.732865, train.high.acc = 0.880435, train.medium.acc = 0.640420, train.low.acc = 0.746076, test.high.acc = 0.824561, test.medium.acc = 0.596364, test.low.acc = 0.745722
c = 1, sigma = 0.084, train.acc = 0.737264, test.acc = 0.732513, train.high.acc = 0.880435, train.medium.acc = 0.640420, train.low.acc = 0.746076, test.high.acc = 0.824561, test.medium.acc = 0.594891, test.low.acc = 0.745426
c = 1, sigma = 0.085, train.acc = 0.737652, test.acc = 0.732865, train.high.acc = 0.880435, train.medium.acc = 0.641830, train.low.acc = 0.746401, test.high.acc = 0.824561, test.medium.acc = 0.597070, test.low.acc = 0.745527
c = 1, sigma = 0.086, train.acc = 0.737135, test.acc = 0.732513, train.high.acc = 0.880435, train.medium.acc = 0.638381, train.low.acc = 0.746219, test.high.acc = 0.810345, test.medium.acc = 0.595588, test.low.acc = 0.745527
c = 1, sigma = 0.087, train.acc = 0.737005, test.acc = 0.732513, train.high.acc = 0.880435, train.medium.acc = 0.637908, train.low.acc = 0.746110, test.high.acc = 0.810345, test.medium.acc = 0.595588, test.low.acc = 0.745527
c = 1, sigma = 0.088, train.acc = 0.736876, test.acc = 0.732513, train.high.acc = 0.880435, train.medium.acc = 0.637076, train.low.acc = 0.746073, test.high.acc = 0.810345, test.medium.acc = 0.595588, test.low.acc = 0.745527
c = 1, sigma = 0.089, train.acc = 0.737135, test.acc = 0.732513, train.high.acc = 0.880435, train.medium.acc = 0.637662, train.low.acc = 0.746362, test.high.acc = 0.810345, test.medium.acc = 0.595588, test.low.acc = 0.745527
c = 1, sigma = 0.09, train.acc = 0.737264, test.acc = 0.732513, train.high.acc = 0.880435, train.medium.acc = 0.639323, train.low.acc = 0.746290, test.high.acc = 0.810345, test.medium.acc = 0.595588, test.low.acc = 0.745527
c = 1, sigma = 0.091, train.acc = 0.737264, test.acc = 0.732513, train.high.acc = 0.880435, train.medium.acc = 0.639323, train.low.acc = 0.746290, test.high.acc = 0.810345, test.medium.acc = 0.597786, test.low.acc = 0.745231
c = 1, sigma = 0.092, train.acc = 0.737781, test.acc = 0.732513, train.high.acc = 0.880435, train.medium.acc = 0.641927, train.low.acc = 0.746581, test.high.acc = 0.810345, test.medium.acc = 0.597786, test.low.acc = 0.745231
c = 1, sigma = 0.093, train.acc = 0.737523, test.acc = 0.732513, train.high.acc = 0.870968, train.medium.acc = 0.640260, train.low.acc = 0.746616, test.high.acc = 0.810345, test.medium.acc = 0.597786, test.low.acc = 0.745231
c = 1, sigma = 0.094, train.acc = 0.737393, test.acc = 0.732513, train.high.acc = 0.870968, train.medium.acc = 0.639429, train.low.acc = 0.746579, test.high.acc = 0.810345, test.medium.acc = 0.597786, test.low.acc = 0.745231
c = 1, sigma = 0.095, train.acc = 0.737652, test.acc = 0.732513, train.high.acc = 0.870968, train.medium.acc = 0.640362, train.low.acc = 0.746797, test.high.acc = 0.810345, test.medium.acc = 0.597786, test.low.acc = 0.745231
c = 1, sigma = 0.096, train.acc = 0.737781, test.acc = 0.732162, train.high.acc = 0.870968, train.medium.acc = 0.639640, train.low.acc = 0.747086, test.high.acc = 0.810345, test.medium.acc = 0.594891, test.low.acc = 0.745324
